******* Consolidated Results ********
Params(neu=[36, 24, 12], act=['relu', 'relu', 'relu'], eph=200, bs=25, score=0.85378)
Params(neu=[36, 24, 12], act=['relu', 'sigmoid', 'sigmoid'], eph=180, bs=50, score=0.85276)
Params(neu=[100, 50, 25], act=['relu', 'sigmoid', 'sigmoid'], eph=80, bs=20, score=0.85276)
Params(neu=[36, 24, 12], act=['relu', 'sigmoid', 'sigmoid'], eph=150, bs=30, score=0.85276)
Params(neu=[36, 24, 12], act=['relu', 'sigmoid', 'sigmoid'], eph=120, bs=30, score=0.85276)
Params(neu=[32, 16, 8], act=['relu', 'sigmoid', 'sigmoid'], eph=150, bs=30, score=0.85276)
Params(neu=[32, 16, 8], act=['relu', 'sigmoid', 'sigmoid'], eph=120, bs=50, score=0.85174)
Params(neu=[24, 24, 12], act=['relu', 'relu', 'relu'], eph=150, bs=30, score=0.85174)
Params(neu=[24, 24, 12], act=['relu', 'sigmoid', 'sigmoid'], eph=120, bs=25, score=0.85174)
Params(neu=[24, 24, 24], act=['relu', 'relu', 'relu'], eph=100, bs=25, score=0.85174)
Params(neu=[24, 24, 24], act=['relu', 'sigmoid', 'sigmoid'], eph=200, bs=50, score=0.85174)
Params(neu=[32, 16, 8], act=['relu', 'relu', 'relu'], eph=150, bs=25, score=0.85174)
Params(neu=[36, 24, 12], act=['relu', 'sigmoid', 'sigmoid'], eph=120, bs=20, score=0.85174)
Params(neu=[64, 32, 16], act=['relu', 'relu', 'relu'], eph=150, bs=50, score=0.85072)
Params(neu=[64, 32, 16], act=['relu', 'relu', 'relu'], eph=100, bs=25, score=0.85072)
Params(neu=[36, 24, 12], act=['relu', 'relu', 'relu'], eph=80, bs=30, score=0.85072)
Params(neu=[64, 32, 16], act=['relu', 'relu', 'relu'], eph=100, bs=50, score=0.84969)
Params(neu=[24, 24, 24], act=['relu', 'sigmoid', 'sigmoid'], eph=150, bs=30, score=0.84969)
Params(neu=[100, 50, 25], act=['relu', 'sigmoid', 'sigmoid'], eph=150, bs=25, score=0.84969)
Params(neu=[36, 24, 12], act=['relu', 'sigmoid', 'sigmoid'], eph=100, bs=25, score=0.84969)
Params(neu=[100, 50, 25], act=['relu', 'relu', 'relu'], eph=80, bs=25, score=0.84969)
Params(neu=[24, 24, 24], act=['relu', 'sigmoid', 'sigmoid'], eph=180, bs=30, score=0.84867)
Params(neu=[24, 24, 12], act=['relu', 'sigmoid', 'sigmoid'], eph=180, bs=20, score=0.84765)
Params(neu=[32, 16, 8], act=['relu', 'relu', 'relu'], eph=100, bs=20, score=0.84765)
Params(neu=[36, 24, 12], act=['relu', 'relu', 'relu'], eph=150, bs=20, score=0.84765)
Params(neu=[36, 24, 12], act=['relu', 'sigmoid', 'sigmoid'], eph=100, bs=20, score=0.84765)
Params(neu=[64, 32, 16], act=['relu', 'sigmoid', 'sigmoid'], eph=80, bs=25, score=0.84765)
Params(neu=[24, 24, 12], act=['relu', 'sigmoid', 'sigmoid'], eph=200, bs=50, score=0.84765)
Params(neu=[32, 16, 8], act=['relu', 'relu', 'relu'], eph=180, bs=25, score=0.84765)
Params(neu=[24, 24, 24], act=['relu', 'relu', 'relu'], eph=120, bs=50, score=0.84663)
Params(neu=[36, 24, 12], act=['relu', 'relu', 'relu'], eph=80, bs=20, score=0.84663)
Params(neu=[64, 32, 16], act=['relu', 'sigmoid', 'sigmoid'], eph=120, bs=50, score=0.84663)
Params(neu=[32, 16, 8], act=['relu', 'sigmoid', 'sigmoid'], eph=150, bs=50, score=0.84560)
Params(neu=[24, 24, 12], act=['relu', 'relu', 'relu'], eph=100, bs=50, score=0.84560)
Params(neu=[32, 16, 8], act=['relu', 'sigmoid', 'sigmoid'], eph=180, bs=50, score=0.84560)
Params(neu=[100, 50, 25], act=['relu', 'sigmoid', 'sigmoid'], eph=100, bs=25, score=0.84560)
Params(neu=[24, 24, 12], act=['relu', 'relu', 'relu'], eph=120, bs=20, score=0.84458)
Params(neu=[36, 24, 12], act=['relu', 'relu', 'relu'], eph=100, bs=20, score=0.84458)
Params(neu=[100, 50, 25], act=['relu', 'relu', 'relu'], eph=150, bs=50, score=0.84458)
Params(neu=[100, 50, 25], act=['relu', 'relu', 'relu'], eph=80, bs=30, score=0.84458)
Params(neu=[64, 32, 16], act=['relu', 'sigmoid', 'sigmoid'], eph=100, bs=30, score=0.84458)
Params(neu=[64, 32, 16], act=['relu', 'sigmoid', 'sigmoid'], eph=150, bs=20, score=0.84356)
Params(neu=[100, 50, 25], act=['relu', 'sigmoid', 'sigmoid'], eph=80, bs=50, score=0.84356)
Params(neu=[32, 16, 8], act=['relu', 'relu', 'relu'], eph=150, bs=50, score=0.84254)
Params(neu=[24, 24, 12], act=['relu', 'relu', 'relu'], eph=200, bs=30, score=0.84254)
Params(neu=[64, 32, 16], act=['relu', 'sigmoid', 'sigmoid'], eph=80, bs=30, score=0.84254)
Params(neu=[64, 32, 16], act=['relu', 'relu', 'relu'], eph=120, bs=25, score=0.84151)
Params(neu=[24, 24, 24], act=['relu', 'sigmoid', 'sigmoid'], eph=120, bs=25, score=0.84151)
Params(neu=[24, 24, 12], act=['relu', 'relu', 'relu'], eph=150, bs=50, score=0.84151)
Params(neu=[32, 16, 8], act=['relu', 'sigmoid', 'sigmoid'], eph=180, bs=30, score=0.84049)
Params(neu=[24, 24, 24], act=['relu', 'relu', 'relu'], eph=80, bs=30, score=0.84049)
Params(neu=[24, 24, 24], act=['relu', 'sigmoid', 'sigmoid'], eph=120, bs=50, score=0.84049)
Params(neu=[36, 24, 12], act=['relu', 'relu', 'relu'], eph=200, bs=20, score=0.84049)
Params(neu=[36, 24, 12], act=['relu', 'relu', 'relu'], eph=150, bs=25, score=0.84049)
Params(neu=[36, 24, 12], act=['relu', 'relu', 'relu'], eph=120, bs=50, score=0.84049)
Params(neu=[36, 24, 12], act=['relu', 'sigmoid', 'sigmoid'], eph=150, bs=50, score=0.83947)
Params(neu=[32, 16, 8], act=['relu', 'relu', 'relu'], eph=120, bs=30, score=0.83947)
Params(neu=[32, 16, 8], act=['relu', 'relu', 'relu'], eph=150, bs=30, score=0.83845)
Params(neu=[24, 24, 12], act=['relu', 'relu', 'relu'], eph=80, bs=30, score=0.83845)
Params(neu=[36, 24, 12], act=['relu', 'relu', 'relu'], eph=100, bs=30, score=0.83742)
Params(neu=[32, 16, 8], act=['relu', 'relu', 'relu'], eph=100, bs=25, score=0.83640)
Params(neu=[24, 24, 24], act=['relu', 'relu', 'relu'], eph=100, bs=30, score=0.83640)
Params(neu=[24, 24, 24], act=['relu', 'sigmoid', 'sigmoid'], eph=80, bs=20, score=0.83640)
Params(neu=[32, 16, 8], act=['relu', 'sigmoid', 'sigmoid'], eph=120, bs=30, score=0.83640)
Params(neu=[24, 24, 12], act=['relu', 'sigmoid', 'sigmoid'], eph=120, bs=30, score=0.83640)
Params(neu=[36, 24, 12], act=['relu', 'sigmoid', 'sigmoid'], eph=100, bs=30, score=0.83640)
Params(neu=[32, 16, 8], act=['relu', 'sigmoid', 'sigmoid'], eph=150, bs=20, score=0.83538)
Params(neu=[64, 32, 16], act=['relu', 'relu', 'relu'], eph=80, bs=20, score=0.83538)
Params(neu=[64, 32, 16], act=['relu', 'sigmoid', 'sigmoid'], eph=80, bs=20, score=0.83538)
Params(neu=[24, 24, 12], act=['relu', 'sigmoid', 'sigmoid'], eph=150, bs=25, score=0.83538)
Params(neu=[32, 16, 8], act=['relu', 'relu', 'relu'], eph=120, bs=25, score=0.83538)
Params(neu=[32, 16, 8], act=['relu', 'sigmoid', 'sigmoid'], eph=100, bs=20, score=0.83436)
Params(neu=[24, 24, 24], act=['relu', 'relu', 'relu'], eph=100, bs=20, score=0.83436)
Params(neu=[32, 16, 8], act=['relu', 'relu', 'relu'], eph=120, bs=20, score=0.83333)
Params(neu=[64, 32, 16], act=['relu', 'sigmoid', 'sigmoid'], eph=80, bs=50, score=0.83333)
Params(neu=[36, 24, 12], act=['relu', 'relu', 'relu'], eph=150, bs=50, score=0.83333)
Params(neu=[64, 32, 16], act=['relu', 'relu', 'relu'], eph=80, bs=25, score=0.83231)
Params(neu=[64, 32, 16], act=['relu', 'sigmoid', 'sigmoid'], eph=100, bs=50, score=0.83231)
Params(neu=[24, 24, 12], act=['relu', 'relu', 'relu'], eph=100, bs=25, score=0.83231)
Params(neu=[24, 24, 12], act=['relu', 'relu', 'relu'], eph=100, bs=30, score=0.83231)
Params(neu=[24, 24, 24], act=['relu', 'relu', 'relu'], eph=120, bs=30, score=0.83129)
Params(neu=[36, 24, 12], act=['relu', 'relu', 'relu'], eph=100, bs=25, score=0.83129)
Params(neu=[100, 50, 25], act=['relu', 'sigmoid', 'sigmoid'], eph=80, bs=25, score=0.83129)
Params(neu=[64, 32, 16], act=['relu', 'sigmoid', 'sigmoid'], eph=120, bs=25, score=0.83027)
Params(neu=[36, 24, 12], act=['relu', 'sigmoid', 'sigmoid'], eph=80, bs=20, score=0.83027)
Params(neu=[36, 24, 12], act=['relu', 'relu', 'relu'], eph=80, bs=50, score=0.82924)
Params(neu=[100, 50, 25], act=['relu', 'relu', 'relu'], eph=80, bs=50, score=0.82924)
Params(neu=[32, 16, 8], act=['relu', 'relu', 'relu'], eph=100, bs=30, score=0.82822)
Params(neu=[24, 24, 12], act=['relu', 'sigmoid', 'sigmoid'], eph=100, bs=30, score=0.82822)
Params(neu=[24, 24, 24], act=['relu', 'sigmoid', 'sigmoid'], eph=80, bs=25, score=0.82720)
Params(neu=[24, 24, 24], act=['relu', 'sigmoid', 'sigmoid'], eph=180, bs=20, score=0.82720)
Params(neu=[24, 24, 24], act=['relu', 'relu', 'relu'], eph=80, bs=20, score=0.82618)
Params(neu=[36, 24, 12], act=['relu', 'sigmoid', 'sigmoid'], eph=150, bs=20, score=0.82618)
Params(neu=[36, 24, 12], act=['relu', 'sigmoid', 'sigmoid'], eph=120, bs=50, score=0.82618)
Params(neu=[24, 24, 12], act=['relu', 'sigmoid', 'sigmoid'], eph=120, bs=50, score=0.82515)
Params(neu=[24, 24, 24], act=['relu', 'sigmoid', 'sigmoid'], eph=80, bs=50, score=0.82515)
Params(neu=[24, 24, 24], act=['relu', 'relu', 'relu'], eph=100, bs=50, score=0.82413)
Params(neu=[64, 32, 16], act=['relu', 'sigmoid', 'sigmoid'], eph=100, bs=20, score=0.82311)
Params(neu=[36, 24, 12], act=['relu', 'sigmoid', 'sigmoid'], eph=80, bs=30, score=0.82311)
Params(neu=[32, 16, 8], act=['relu', 'relu', 'relu'], eph=100, bs=50, score=0.82311)
Params(neu=[24, 24, 24], act=['relu', 'sigmoid', 'sigmoid'], eph=120, bs=30, score=0.82311)
Params(neu=[32, 16, 8], act=['relu', 'sigmoid', 'sigmoid'], eph=100, bs=25, score=0.82311)
Params(neu=[32, 16, 8], act=['relu', 'sigmoid', 'sigmoid'], eph=100, bs=50, score=0.82209)
Params(neu=[36, 24, 12], act=['relu', 'relu', 'relu'], eph=100, bs=50, score=0.82209)
Params(neu=[24, 24, 24], act=['relu', 'sigmoid', 'sigmoid'], eph=120, bs=20, score=0.82106)
Params(neu=[32, 16, 8], act=['relu', 'relu', 'relu'], eph=200, bs=50, score=0.82004)
Params(neu=[32, 16, 8], act=['relu', 'sigmoid', 'sigmoid'], eph=80, bs=30, score=0.81902)
Params(neu=[24, 24, 12], act=['relu', 'sigmoid', 'sigmoid'], eph=100, bs=20, score=0.81902)
Params(neu=[24, 24, 24], act=['relu', 'relu', 'relu'], eph=80, bs=50, score=0.81800)
Params(neu=[24, 24, 12], act=['relu', 'relu', 'relu'], eph=80, bs=25, score=0.81800)
Params(neu=[32, 16, 8], act=['relu', 'relu', 'relu'], eph=120, bs=50, score=0.81697)
Params(neu=[24, 24, 12], act=['relu', 'sigmoid', 'sigmoid'], eph=80, bs=25, score=0.81697)
Params(neu=[64, 32, 16], act=['relu', 'relu', 'relu'], eph=80, bs=50, score=0.81697)
Params(neu=[24, 24, 12], act=['relu', 'sigmoid', 'sigmoid'], eph=80, bs=30, score=0.81595)
Params(neu=[36, 24, 12], act=['relu', 'sigmoid', 'sigmoid'], eph=80, bs=50, score=0.81493)
Params(neu=[24, 24, 12], act=['relu', 'sigmoid', 'sigmoid'], eph=150, bs=50, score=0.81493)
Params(neu=[24, 24, 12], act=['relu', 'sigmoid', 'sigmoid'], eph=150, bs=30, score=0.81391)
